"","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",-0.0730289691557197,-0.0730289691557197,12.1210103657274,12.1210103657274,12.1210103657274,-12.1940393348831,-12.1940393348831,-12.1940393348831,0,0,0,9.99090310402634,16.6485153474471,13.4251799927817,13.4251799927817,13.352151023626
"2",-0.0730289691557197,-0.0730289691557197,12.1210103657274,12.1210103657274,12.1210103657274,-12.1940393348831,-12.1940393348831,-12.1940393348831,0,0,0,10.0363948758103,16.8863292188994,13.4251799927817,13.4251799927817,13.352151023626
"3",-0.0730289691557197,-0.0730289691557197,12.1210103657274,12.1210103657274,12.1210103657274,-12.1940393348831,-12.1940393348831,-12.1940393348831,0,0,0,10.0810168015948,16.8650968434661,13.4251799927817,13.4251799927817,13.352151023626
"4",-0.0730289691557197,-0.0730289691557197,12.1210103657274,12.1210103657274,12.1210103657274,-12.1940393348831,-12.1940393348831,-12.1940393348831,0,0,0,9.83410514884145,17.0264074900951,13.4251799927817,13.4251799927817,13.352151023626
"5",-0.0730289691557197,-0.0730289691557197,12.1210103657274,12.1210103657274,12.1210103657274,-12.1940393348831,-12.1940393348831,-12.1940393348831,0,0,0,9.76588154493454,16.6277592311516,13.4251799927817,13.4251799927817,13.352151023626
"6",4.15363735708267,4.15363735708267,12.1210103657274,12.1210103657274,12.1210103657274,-7.96737300864471,-7.96737300864471,-7.96737300864471,0,0,0,14.0817799489166,21.1641404569738,13.4263596027154,13.4263596027154,17.5799969597981
"7",4.15363735708267,4.15363735708267,12.1210103657274,12.1210103657274,12.1210103657274,-7.96737300864471,-7.96737300864471,-7.96737300864471,0,0,0,14.1839124556441,21.0613267085015,13.4263596027154,13.4263596027154,17.5799969597981
"8",4.15363735708267,4.15363735708267,12.1210103657274,12.1210103657274,12.1210103657274,-7.96737300864471,-7.96737300864471,-7.96737300864471,0,0,0,14.1622782760001,21.2167615307447,13.4263596027154,13.4263596027154,17.5799969597981
"9",4.15363735708267,4.15363735708267,12.1210103657274,12.1210103657274,12.1210103657274,-7.96737300864471,-7.96737300864471,-7.96737300864471,0,0,0,14.2281447741889,20.9699748764305,13.4263596027154,13.4263596027154,17.5799969597981
"10",9.55821150687059,9.55821150687059,12.1210103657274,12.1210103657274,12.1210103657274,-2.56279885885679,-2.56279885885679,-2.56279885885679,0,0,0,19.5899871381739,26.3249927922323,13.4274250568491,13.4274250568491,22.9856365637197
"11",9.55821150687059,9.55821150687059,12.1210103657274,12.1210103657274,12.1210103657274,-2.56279885885679,-2.56279885885679,-2.56279885885679,0,0,0,19.3929789543759,26.8192239617697,13.4274250568491,13.4274250568491,22.9856365637197
"12",9.55821150687059,9.55821150687059,12.1210103657274,12.1210103657274,12.1210103657274,-2.56279885885679,-2.56279885885679,-2.56279885885679,0,0,0,19.7408047469423,26.3277492118978,13.4274250568491,13.4274250568491,22.9856365637197
"13",9.55821150687059,9.55821150687059,12.1210103657274,12.1210103657274,12.1210103657274,-2.56279885885679,-2.56279885885679,-2.56279885885679,0,0,0,19.5464941523668,26.3866324370414,13.4274250568491,13.4274250568491,22.9856365637197
"14",16.0421747922708,16.0421747922708,12.1210103657274,12.1210103657274,12.1210103657274,3.92116442654338,3.92116442654338,3.92116442654338,0,0,0,26.0134168072358,32.8028359108141,13.4286046667828,13.4286046667828,29.4707794590535
"15",16.0421747922708,16.0421747922708,12.1210103657274,12.1210103657274,12.1210103657274,3.92116442654338,3.92116442654338,3.92116442654338,0,0,0,25.77102315785,32.8235234984736,13.4286046667828,13.4286046667828,29.4707794590535
"16",16.0421747922708,16.0421747922708,12.1210103657274,12.1210103657274,12.1210103657274,3.92116442654338,3.92116442654338,3.92116442654338,0,0,0,25.9111166973171,32.9828212889601,13.4286046667828,13.4286046667828,29.4707794590535
"17",16.0421747922708,16.0421747922708,12.1210103657274,12.1210103657274,12.1210103657274,3.92116442654338,3.92116442654338,3.92116442654338,0,0,0,25.9558626708932,33.0189020281431,13.4286046667828,13.4286046667828,29.4707794590535
"18",19.9971688474078,19.9971688474078,12.1210103657274,12.1210103657274,12.1210103657274,7.87615848168042,7.87615848168042,7.87615848168042,0,0,0,30.0294807799555,37.1435328125778,13.4297462247831,13.4297462247831,33.4269150721909
"19",19.9971688474078,19.9971688474078,12.1210103657274,12.1210103657274,12.1210103657274,7.87615848168042,7.87615848168042,7.87615848168042,0,0,0,29.6225162319454,37.1983732217025,13.4297462247831,13.4297462247831,33.4269150721909
"20",19.9971688474078,19.9971688474078,12.1210103657274,12.1210103657274,12.1210103657274,7.87615848168042,7.87615848168042,7.87615848168042,0,0,0,30.0138648529306,36.8524042092991,13.4297462247831,13.4297462247831,33.4269150721909
"21",19.9971688474078,19.9971688474078,12.1210103657274,12.1210103657274,12.1210103657274,7.87615848168042,7.87615848168042,7.87615848168042,0,0,0,29.811232605189,36.9272889931237,13.4297462247831,13.4297462247831,33.4269150721909
"22",20.3055371308017,20.3055371308017,12.1210103657274,12.1210103657274,12.1210103657274,8.18452676507431,8.18452676507431,8.18452676507431,0,0,0,30.2568397353101,37.2018103016851,13.4309258347168,13.4309258347168,33.7364629655185
"23",20.3055371308017,20.3055371308017,12.1210103657274,12.1210103657274,12.1210103657274,8.18452676507431,8.18452676507431,8.18452676507431,0,0,0,30.1505805626397,37.048075581542,13.4309258347168,13.4309258347168,33.7364629655185
